,Erika,Fons,Gaby,Geisha,Ghineau,Giambo,Jimmie,Jing,Moni,Moniek,Morami,Raimee,Roosje,Tesua,Tushi
Erika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaby,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Geisha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghineau,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Giambo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Moni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moniek,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Morami,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Raimee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Roosje,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Tesua,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tushi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
